placeId,place_name,introduction,category_name,categoryId,latitude,longitude,postcode,thumbnail_url,tags,province_Id,province_name,district_Id,district_name,sub_district_Id,sub_district_name,updated_at
4071,วัดฉลอง (วัดไชยธาราราม),เป็นวัดที่หลอมรวมความศรัทธาของชาวพุทธในจังหวัดภูเก็ตและพื้นที่ใกล้เคียง เรื่องราวบารมีอันยิ่งใหญ่ของหลวงพ่อแช่ม คือ ประวัติศาสตร์หน้าหนึ่งที่ชาวภูเก็ตไม่เคยลืมเลือน และทุกวันนี้ทั้งนักท่องเที่ยวและชาวภูเก็ตเอง ยังคงเดินทางไปสักการะรูปหล่อของท่าน รวมทั้งหลวงพ่อช่วง พระเกจิชื่อดังอีกรูปกันอยู่เสมอ ณ วัดฉลอง หรือเรียกอีกชื่อหนึ่งว่าวัดไชยธารามแห่งนี้ ,สถานที่ท่องเที่ยว,3,7.84654,98.33657,83130.0,https://dmc.tatdataapi.io/assets/d7fd9fa1-1588-4983-b178-5f7d86c26086.jpeg,"ภูเก็ต,วัดฉลอง,วัดไชยธาราราม,หลวงพ่อแช่ม",350,ภูเก็ต,8301,เมืองภูเก็ต,830106,ฉลอง,2024-11-11T06:14:20.724Z
9384,สยามนิรมิต ภูเก็ต,,สถานที่ท่องเที่ยว,3,7.93182,98.37722,83000.0,https://dmc.tatdataapi.io/assets/4ae06cf4-8caf-4346-9797-4cc5b6db36b7.jpg,"สยามนิรมิต,การแสดงภูเก็ต,ประสบการณ์ทางวัฒนธรรม,ประวัติศาสตร์ไทย,กิจกรรมตามปรศิลปะการแสดงะเพณี,กิจกรรมตามประเพณี,ศิลปะการแสดง,หมู่บ้านไทย,อาหารริมทาง,เทคนิคพิเศษ,มรดกทางศิลปะ",350,ภูเก็ต,8301,เมืองภูเก็ต,830103,เกาะแก้ว,2024-10-01T07:48:57.970Z
12627,ย่านเมืองเก่าภูเก็ต,กิจกรรมที่ได้รับความนิยมอย่างหนึ่งเมื่อมาภูเก็ต คือ การมาเดินชมย่านเมืองเก่าภูเก็ตที่เต็มไปด้วยเรื่องราวทางประวัติศาสตร์ ในอดีตจะมีผู้คนหลากหลายเชื้อชาติ ได้แก่ จีน อินเดีย ยุโรป มุสลิม เข้ามาตั้งถิ่นฐาน ประกอบอาชีพค้าขาย และได้สร้างบ้านเป็นตึกแถว มีลักษณะทางสถาปัตยกรรมแบบ “ชิโน-ยูโรเปียน” ซึ่งจะเห็นอยู่ทั้งสองฟากฝั่งถนน ตั้งแต่สมัยรัชกาลที่ 5 เมื่อครั้งที่กิจการเหมืองแร่ดีบุกเจริญรุ่งเรือง ,สถานที่ท่องเที่ยว,3,7.88476,98.39068,83000.0,https://dmc.tatdataapi.io/assets/943edd03-36c8-4d5b-aa76-23a4a2d4bb7c.jpeg,"ภูเก็ต,เมืองเก่า,ย่านเมืองเก่าภูเก็ต",350,ภูเก็ต,8301,เมืองภูเก็ต,830101,ตลาดใหญ่,2024-07-31T03:37:24.489Z
23577,ศูนย์ศึกษาธรรมชาติและสัตว์ป่าเขาพระแทว,"
",สถานที่ท่องเที่ยว,3,8.00271,98.37746,83110.0,,,350,ภูเก็ต,8303,ถลาง,830301,เทพกระษัตรี,2024-07-15T05:32:32.464Z
26506,ศูนย์อนุรักษ์ชะนี,,สถานที่ท่องเที่ยว,3,8.0493,98.40907,83110.0,,,350,ภูเก็ต,8303,ถลาง,830304,ป่าคลอก,2024-07-15T05:29:01.655Z
33584,ผาหินดำ,ผาหินดำ อยู่ระหว่างหาดนุ้ยกับหาดในหาน และใกล้กับแหลมกระทิง เป็นจุดชมวิว ที่ตั้งบนยอดเขาสูง สามารถชมทัศนียภาพได้โดยรอบ 360 องศา สามารถมองเห็นอ่าวฉลอง แหลมพรหมเทพ หาดยะนุ้ย จุดชมวิวกังหันลม หาดในหาน เกาะแก้วพิสดาร เกาะโหลน เกาะไม้ท่อน และเกาะเฮ รวมทั้งพระอาทิตย์ตกกลางท้องทะเลอันดามัน,สถานที่ท่องเที่ยว,3,7.78311,98.29807,83000.0,https://dmc.tatdataapi.io/assets/561311a3-6376-481f-8f4f-3efc97e78e85.jpeg,"ผาหินดำ,ภูเก็ต",350,ภูเก็ต,8301,เมืองภูเก็ต,830108,กะรน,2024-07-15T05:25:46.382Z
20795,เกาะราชาใหญ่,เป็นเกาะที่ตั้งอยู่ทางใต้ของเกาะภูเก็ต มีหาดทรายขาวละเอียดและน้ำทะเลที่ใสสะอาด บนยอดเขาทางตอนใต้ของเกาะมีจุดชมวิวที่มองเห็นทัศนียภาพของอ่าวปะตก ซึ่งอยู่ระหว่างหุบเขารูปเกือกม้าทางทิศตะวันตก อ่าวสยาม มีชายหาดยาวที่สุดของเกาะ และอ่าวขอนแค อยู่ทางตะวันออก เหมาะแก่การดำน้ำ ดูปะการัง บนเกาะยังมีที่พักสะดวกสบายให้บริการ,สถานที่ท่องเที่ยว,3,7.60304,98.36625,83130.0,https://dmc.tatdataapi.io/assets/067c34d5-4331-4016-9b69-22ba562da944.jpeg,"เกาะราชา,ภูเก็ต",350,ภูเก็ต,8301,เมืองภูเก็ต,830107,ราไวย์,2024-07-15T05:25:45.121Z
24345,หาดกะตะและหาดกะรน,,สถานที่ท่องเที่ยว,3,7.84905,98.29289,83100.0,https://dmc.tatdataapi.io/assets/aab8ebf8-8937-441e-879c-df816f5188a5.jpeg,"ภูเก็ต,กะตะ,กะรน",350,ภูเก็ต,8301,เมืองภูเก็ต,830108,กะรน,2024-07-15T05:25:44.374Z
27861,เกาะเฮ,ตั้งอยู่ทางทิศตะวันออกเฉียงใต้ของเกาะภูเก็ต ห่างจากชายฝั่งประมาณ 10 กิโลเมตร ด้านเหนือและด้านตะวันออกของเกาะเฮ มีหาดทรายขาวละเอียด น้ำทะเลสวยสะอาด เหมาะแก่การดำน้ำ ดูปะการังน้ำตื้นที่ยังคงสภาพสมบูรณ์ บนเกาะมีที่พัก ร้านอาหารและบริการกิจกรรมทางน้ำอื่น ๆ,สถานที่ท่องเที่ยว,3,7.74461,98.36675,83130.0,https://dmc.tatdataapi.io/assets/2bdbf943-c747-4a1c-9add-c3b2c0745466.jpeg,"เกาะเฮ,ภูเก็ต",350,ภูเก็ต,8301,เมืองภูเก็ต,830107,ราไวย์,2024-07-15T05:25:43.664Z
21048,เกาะโหลน,อยู่ห่างจากชายฝั่งภูเก็ตประมาณ 5 กิโลเมตร สามารถเช่าเรือมาท่องเที่ยวได้จากท่าเรือหาดราไวย์ ชาวบ้านส่วนใหญ่เป็นมุสลิม ประกอบอาชีพประมงและการเกษตร มีกิจกรรมท่องเที่ยว เช่น เรียนรู้วิถีชีวิตและภูมิปัญญาท้องถิ่นของชาวบ้านบนเกาะ การวาดลวดลายและลงสีผ้าบาติกโดยใช้สีจากธรรมชาติ การทำขนมพื้นบ้าน เช่น ขนมโค ขนมต้มใบมะพร้าว และการหาหมึกโวยวาย เป็นต้น,สถานที่ท่องเที่ยว,3,7.78672,98.37281,83130.0,https://dmc.tatdataapi.io/assets/7b800c9c-5781-4137-b343-b75cfa562250.jpeg,"เกาะโหลน,ภูเก็ต",350,ภูเก็ต,8301,เมืองภูเก็ต,830107,ราไวย์,2024-07-15T05:25:41.620Z
9314,ตึกโบราณสถาปัตยกรรมแบบชิโน-ยูโรเปียน,อาคารรุ่นเก่าในตัวเมืองภูเก็ต ที่เป็นทั้งบ้านเรือน ร้านค้า สถานที่ราชการ ธนาคาร และอื่น ๆ อีกมากมาย ส่วนใหญ่เป็นตึกซึ่งสร้างขึ้นเมื่อสมัยเกือบร้อยปีมาแล้ว ลักษณะของตัวอาคารเป็นการผสมผสานสถาปัตยกรรมแบบจีนและยุโรป เรียกว่า สถาปัตยกรรมแบบชิโน-ยูโรเปียน (Sino-European) ,สถานที่ท่องเที่ยว,3,7.8863,98.3874,83000.0,https://dmc.tatdataapi.io/assets/078d9600-4dcb-4923-84ca-7df31e331598.jpeg,,350,ภูเก็ต,8301,เมืองภูเก็ต,830102,ตลาดเหนือ,2024-07-15T05:25:40.288Z
23519,หอชมวิวเขาขาด,ตั้งอยู่บริเวณอ่าวมะขาม แหลมพันวา เป็นจุดชมวิวอีกแห่งหนึ่งของจังหวัดภูเก็ต สามารถมองเห็นทัศนียภาพทั่วเกาะภูเก็ตได้ถึง 360 องศา อาทิ อ่าวฉลอง แหลมพันวา เกาะสิเหร่ เกาะบอน และเกาะน้อยใหญ่รอบ ๆ ภูเก็ต รวมทั้งตัวเมืองภูเก็ต,สถานที่ท่องเที่ยว,3,7.83487,98.3843,83000.0,https://dmc.tatdataapi.io/assets/e60139b4-840d-47e8-814f-28d4821b9a64.jpg,,350,ภูเก็ต,8301,เมืองภูเก็ต,830105,วิชิต,2024-07-15T05:24:34.868Z
9861,สะพานสารสิน,"เป็นสะพานแรกที่สร้างเพื่อข้ามไปมาระหว่างจังหวัดภูเก็ตและจังหวัด
พังงา เชื่อมต่อบ้านท่าฉัตรไชย ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต และบ้านท่านุ่นตำบลโคกกลอย อำเภอตะกั่วทุ่ง จังหวัดพังงา ตามทางหลวงหมายเลข 402 เปิดใช้สัญจรเมื่อวันที่ 7 กรกฎาคม พ.ศ. 2510 เป็นสะพานขนาดสองช่องจราจรมีความยาว 360 เมตร โดยชื่อของสะพานตั้งตามนามสกุลของนายพจน์ สารสิน รัฐมนตรีว่าการกระทรวงพัฒนาการแห่งชาติในขณะนั้น",สถานที่ท่องเที่ยว,3,8.20176,98.29799,83110.0,https://dmc.tatdataapi.io/assets/96e7430b-a9d3-4ee8-bc18-8f0f48c89734.jpeg,"พังงา,ภูเก็ต,สะพานสารสิน",350,ภูเก็ต,8303,ถลาง,830305,ไม้ขาว,2024-07-15T05:24:34.243Z
7117,พิพิธภัณฑสถานแห่งชาติ ถลาง,ตั้งอยู่บริเวณสี่แยกอนุสาวรีย์ท้าวเทพกระษัตรี ท้าวศรีสุนทร ห่างจากอนุสาวรีย์ไปทางถนนสายป่าคลอก,สถานที่ท่องเที่ยว,3,7.98091,98.36691,83110.0,https://dmc.tatdataapi.io/assets/67ee5501-22b4-4f66-a087-73f602b30547.jpg,,350,ภูเก็ต,8303,ถลาง,830302,ศรีสุนทร,2024-07-15T05:24:33.602Z
8047,หาดสุรินทร์,,สถานที่ท่องเที่ยว,3,7.97661,98.27835,83110.0,https://dmc.tatdataapi.io/assets/e97222ff-e39d-4173-9933-fd3084c7d4ff.jpeg,"ภูเก็ต,หาดสุรินทร์ ",350,ภูเก็ต,8303,ถลาง,830303,เชิงทะเล,2024-07-15T05:24:32.886Z
